,Department,Job,Q1,Q2,Q3,Q4
591,Research and Development,Web Designer I,1,0,0,0
592,Research and Development,Web Designer II,0,0,0,1
593,Research and Development,Web Developer III,0,1,0,1
594,Sales,Account Executive,0,1,0,0
595,Sales,Accounting Assistant II,0,1,0,0
596,Sales,Accounting Assistant IV,1,0,0,0
597,Sales,Actuary,0,1,0,0
598,Sales,Administrative Assistant I,0,1,0,0
599,Sales,Administrative Officer,1,0,0,0
600,Sales,Analyst Programmer,0,1,0,0
601,Sales,Assistant Manager,0,1,1,0
602,Sales,Assistant Professor,0,0,2,0
603,Sales,Associate Professor,0,2,0,0
604,Sales,Biostatistician II,0,1,0,0
605,Sales,Biostatistician III,0,2,0,1
606,Sales,Budget/Accounting Analyst III,1,0,0,0
607,Sales,Budget/Accounting Analyst IV,0,0,2,1
608,Sales,Business Systems Development Analyst,0,0,0,1
609,Sales,Chief Design Engineer,0,1,0,0
610,Sales,Civil Engineer,1,0,1,0
611,Sales,Clinical Specialist,0,1,0,0
612,Sales,Computer Systems Analyst I,0,0,1,0
613,Sales,Computer Systems Analyst IV,0,0,0,1
614,Sales,Cost Accountant,1,1,1,0
615,Sales,Database Administrator III,0,0,1,0
616,Sales,Design Engineer,1,0,0,0
617,Sales,Director of Sales,0,1,0,2
618,Sales,Engineer III,1,0,0,0
619,Sales,Engineer IV,0,1,0,0
620,Sales,Financial Analyst,0,0,0,1
621,Sales,Geologist II,0,2,0,2
622,Sales,Geologist IV,0,0,1,1
623,Sales,Graphic Designer,1,0,0,0
624,Sales,Health Coach I,1,0,0,0
625,Sales,Health Coach III,0,0,2,2
626,Sales,Human Resources Manager,0,1,0,0
627,Sales,Librarian,0,1,0,0
628,Sales,Mechanical Systems Engineer,0,1,1,0
629,Sales,Media Manager II,0,0,0,1
630,Sales,Nurse,0,0,1,0
631,Sales,Nurse Practicioner,1,0,0,0
632,Sales,Pharmacist,0,0,0,1
633,Sales,Programmer IV,0,1,0,2
634,Sales,Quality Control Specialist,0,0,0,1
635,Sales,Recruiter,0,2,0,0
636,Sales,Recruiting Manager,0,1,2,0
637,Sales,Research Assistant II,1,1,0,0
638,Sales,Research Assistant IV,0,1,0,0
639,Sales,Senior Financial Analyst,1,1,0,0
640,Sales,Senior Quality Engineer,0,0,1,0
641,Sales,Social Worker,0,0,0,1
642,Sales,Software Test Engineer IV,0,1,0,0
643,Sales,Staff Accountant I,0,1,0,0
644,Sales,Staff Accountant III,0,1,0,0
645,Sales,Staff Accountant IV,0,0,1,0
646,Sales,Staff Scientist,0,0,0,1
647,Sales,Statistician II,1,1,0,0
648,Sales,Systems Administrator IV,1,0,1,0
649,Sales,Teacher,0,0,1,1
650,Sales,VP Accounting,0,0,1,3
651,Sales,Web Designer I,1,0,0,0
652,Sales,Web Developer III,1,0,0,1
653,Services,Account Coordinator,0,0,0,1
654,Services,Account Executive,0,0,2,0
655,Services,Accountant I,0,0,0,1
656,Services,Accountant III,0,0,1,0
657,Services,Accounting Assistant I,0,1,0,0
658,Services,Accounting Assistant IV,0,1,0,0
659,Services,Administrative Assistant I,1,0,0,0
660,Services,Analog Circuit Design manager,0,0,0,1
661,Services,Analyst Programmer,0,1,1,1
662,Services,Assistant Professor,0,0,0,1
663,Services,Associate Professor,0,1,2,0
664,Services,Biostatistician II,0,1,0,0
665,Services,Biostatistician III,0,1,1,0
666,Services,Biostatistician IV,0,1,1,0
667,Services,Budget/Accounting Analyst II,0,0,1,0
668,Services,Budget/Accounting Analyst III,0,2,0,0
669,Services,Budget/Accounting Analyst IV,0,3,1,0
670,Services,Chemical Engineer,0,1,0,0
671,Services,Chief Design Engineer,0,0,0,1
672,Services,Civil Engineer,0,0,1,1
673,Services,Clinical Specialist,1,1,2,1
674,Services,Community Outreach Specialist,1,1,2,0
675,Services,Computer Systems Analyst IV,0,0,1,0
676,Services,Cost Accountant,1,0,0,0
677,Services,Data Coordiator,0,1,0,1
678,Services,Database Administrator I,0,0,2,0
679,Services,Database Administrator IV,0,1,0,0
680,Services,Dental Hygienist,0,2,0,0
681,Services,Design Engineer,0,0,1,0
682,Services,Developer I,0,1,2,0
683,Services,Developer II,0,1,0,0
684,Services,Developer III,0,0,1,0
685,Services,Director of Sales,0,0,0,1
686,Services,Engineer I,0,1,0,0
687,Services,Engineer III,0,0,3,0
688,Services,Engineer IV,0,1,0,0
689,Services,Environmental Tech,0,1,0,0
690,Services,Executive Secretary,0,0,1,1
691,Services,Food Chemist,1,1,0,2
692,Services,GIS Technical Architect,1,1,0,0
693,Services,General Manager,0,1,0,0
694,Services,Geological Engineer,0,0,0,1
695,Services,Geologist I,0,0,1,1
696,Services,Geologist II,1,1,0,0
697,Services,Geologist IV,0,0,0,3
698,Services,Graphic Designer,0,1,0,0
699,Services,Health Coach III,0,0,0,1
700,Services,Health Coach IV,0,0,1,0
701,Services,Human Resources Assistant II,0,1,1,0
702,Services,Human Resources Assistant IV,1,0,0,1
703,Services,Human Resources Manager,0,1,0,1
704,Services,Information Systems Manager,0,0,1,0
705,Services,Internal Auditor,0,3,0,0
706,Services,Junior Executive,0,1,1,0
707,Services,Legal Assistant,1,0,0,0
708,Services,Librarian,0,1,0,1
709,Services,Media Manager III,0,0,0,2
710,Services,Media Manager IV,0,0,1,0
711,Services,Nuclear Power Engineer,1,0,0,0
712,Services,Nurse Practicioner,0,1,0,0
713,Services,Occupational Therapist,0,1,1,0
714,Services,Operator,0,0,1,0
715,Services,Payment Adjustment Coordinator,0,0,0,1
716,Services,Pharmacist,0,0,0,1
717,Services,Physical Therapy Assistant,0,1,1,0
718,Services,Professor,0,0,0,2
719,Services,Programmer I,1,0,2,0
720,Services,Programmer III,0,0,2,0
721,Services,Programmer IV,2,3,0,3
722,Services,Project Manager,1,0,0,0
723,Services,Quality Control Specialist,0,0,2,1
724,Services,Quality Engineer,0,1,1,1
725,Services,Recruiter,0,0,1,1
726,Services,Recruiting Manager,0,1,1,0
727,Services,Registered Nurse,0,1,0,0
728,Services,Research Assistant II,0,1,0,2
729,Services,Research Assistant III,0,0,1,0
730,Services,Research Assistant IV,0,2,1,1
731,Services,Safety Technician IV,0,0,0,1
732,Services,Sales Representative,0,1,0,1
733,Services,Senior Cost Accountant,1,2,0,0
734,Services,Senior Developer,0,0,0,1
735,Services,Senior Editor,0,1,0,0
736,Services,Senior Financial Analyst,1,1,0,0
737,Services,Software Engineer I,0,3,0,3
738,Services,Software Engineer III,1,0,0,0
739,Services,Software Test Engineer III,0,0,0,1
740,Services,Software Test Engineer IV,1,1,1,1
741,Services,Staff Accountant III,0,0,1,0
742,Services,Staff Accountant IV,1,0,0,0
743,Services,Staff Scientist,0,1,0,0
744,Services,Statistician I,1,0,0,0
745,Services,Statistician II,1,0,0,1
746,Services,Statistician III,0,0,1,0
747,Services,Structural Analysis Engineer,0,1,1,1
748,Services,Systems Administrator IV,1,0,1,0
749,Services,Teacher,3,2,0,1
750,Services,VP Accounting,0,2,0,0
751,Services,VP Product Management,0,0,2,1
752,Services,VP Quality Control,0,0,1,0
753,Services,Web Designer I,1,0,1,0
754,Services,Web Designer II,0,1,1,0
755,Services,Web Designer III,1,0,0,0
756,Services,Web Developer I,1,1,1,0
757,Services,Web Developer II,0,1,0,0
758,Support,Account Coordinator,0,0,0,1
759,Support,Account Executive,0,1,2,2
760,Support,Account Representative III,0,0,0,2
761,Support,Account Representative IV,0,1,0,1
762,Support,Accountant IV,0,2,0,0
763,Support,Accounting Assistant I,1,0,1,0
764,Support,Accounting Assistant II,1,1,0,0
765,Support,Accounting Assistant III,0,0,1,0
766,Support,Accounting Assistant IV,0,2,1,0
767,Support,Actuary,0,0,0,2
768,Support,Administrative Assistant III,0,1,0,0
769,Support,Analog Circuit Design manager,1,0,0,0
770,Support,Analyst Programmer,0,0,1,1
771,Support,Assistant Manager,2,0,1,0
772,Support,Assistant Media Planner,0,0,0,2
773,Support,Assistant Professor,0,2,0,0
774,Support,Associate Professor,0,2,3,0
775,Support,Automation Specialist I,1,0,2,0
776,Support,Automation Specialist IV,0,0,0,1
777,Support,Biostatistician II,0,0,1,0
778,Support,Biostatistician III,0,0,0,3
779,Support,Budget/Accounting Analyst I,1,0,0,0
780,Support,Budget/Accounting Analyst IV,1,0,0,0
781,Support,Chemical Engineer,1,0,0,0
782,Support,Chief Design Engineer,1,3,0,1
783,Support,Civil Engineer,0,2,1,0
784,Support,Clinical Specialist,1,1,2,2
785,Support,Computer Systems Analyst IV,0,1,0,0
786,Support,Cost Accountant,1,2,0,1
787,Support,Data Coordiator,0,0,1,0
788,Support,Database Administrator I,0,0,0,1
789,Support,Database Administrator II,1,0,0,0
790,Support,Database Administrator III,0,1,1,0
791,Support,Dental Hygienist,0,0,1,0
792,Support,Developer II,0,0,0,1
793,Support,Director of Sales,1,0,0,2
794,Support,Editor,0,0,1,1
795,Support,Electrical Engineer,0,0,0,1
796,Support,Engineer III,0,0,1,2
797,Support,Engineer IV,0,1,1,0
798,Support,Environmental Tech,1,0,0,0
799,Support,Executive Secretary,1,0,0,0
800,Support,Food Chemist,1,0,0,0
801,Support,GIS Technical Architect,0,1,0,0
802,Support,General Manager,0,2,0,0
803,Support,Geological Engineer,0,0,1,0
804,Support,Geologist II,0,0,0,2
805,Support,Geologist IV,1,0,0,1
806,Support,Graphic Designer,0,0,1,0
807,Support,Health Coach III,1,1,0,1
808,Support,Health Coach IV,0,0,1,1
809,Support,Human Resources Assistant II,0,0,1,0
810,Support,Human Resources Assistant III,0,1,0,0
811,Support,Human Resources Assistant IV,0,1,0,0
812,Support,Junior Executive,1,0,0,1
813,Support,Marketing Manager,0,1,0,0
814,Support,Media Manager IV,0,0,1,0
815,Support,Nurse,1,0,0,0
816,Support,Nurse Practicioner,0,1,0,0
817,Support,Occupational Therapist,0,0,1,0
818,Support,Paralegal,0,1,0,0
819,Support,Pharmacist,0,1,0,1
820,Support,Product Engineer,0,0,0,1
821,Support,Professor,0,0,2,0
822,Support,Programmer Analyst II,1,0,1,0
823,Support,Programmer III,1,1,0,1
824,Support,Programmer IV,0,0,4,2
825,Support,Project Manager,0,0,1,0
826,Support,Quality Engineer,1,0,0,0
827,Support,Recruiter,2,3,2,1
828,Support,Recruiting Manager,0,0,1,1
829,Support,Registered Nurse,0,0,1,2
830,Support,Research Assistant III,0,0,1,0
831,Support,Research Assistant IV,0,0,0,2
832,Support,Sales Representative,0,1,1,0
833,Support,Senior Cost Accountant,0,0,1,0
834,Support,Senior Developer,0,0,1,1
835,Support,Senior Editor,0,0,0,3
836,Support,Senior Financial Analyst,1,2,1,1
837,Support,Social Worker,0,0,1,0
838,Support,Software Engineer III,0,0,0,2
839,Support,Software Test Engineer I,0,0,1,0
840,Support,Software Test Engineer IV,0,2,1,1
841,Support,Speech Pathologist,0,1,0,0
842,Support,Staff Accountant III,1,0,1,0
843,Support,Staff Accountant IV,0,0,0,1
844,Support,Staff Scientist,0,0,1,1
845,Support,Statistician I,0,2,0,0
846,Support,Statistician II,0,1,0,0
847,Support,Statistician III,0,1,0,0
848,Support,Structural Analysis Engineer,0,1,0,0
849,Support,Structural Engineer,0,1,0,0
850,Support,Systems Administrator II,0,0,1,1
851,Support,Systems Administrator IV,2,4,0,2
852,Support,Teacher,0,1,1,0
853,Support,Technical Writer,0,1,1,0
854,Support,VP Accounting,0,2,0,0
855,Support,VP Marketing,0,0,0,1
856,Support,VP Product Management,0,0,1,0
857,Support,VP Quality Control,0,0,0,1
858,Support,Web Designer I,1,4,0,1
859,Support,Web Designer II,0,2,1,0
860,Support,Web Designer IV,1,0,1,1
861,Support,Web Developer I,0,0,2,0
862,Support,Web Developer II,0,0,0,1
863,Support,Web Developer III,0,1,0,0
864,Training,Account Coordinator,0,1,0,0
865,Training,Account Representative IV,1,0,0,0
866,Training,Accountant II,0,0,0,1
867,Training,Accountant IV,0,1,0,1
868,Training,Accounting Assistant I,0,0,0,1
869,Training,Accounting Assistant IV,0,0,0,1
870,Training,Actuary,0,0,1,0
871,Training,Analog Circuit Design manager,0,1,0,0
872,Training,Analyst Programmer,0,0,2,0
873,Training,Budget/Accounting Analyst III,0,0,1,1
874,Training,Budget/Accounting Analyst IV,0,0,1,1
875,Training,Clinical Specialist,0,0,0,1
876,Training,Community Outreach Specialist,1,1,0,2
877,Training,Computer Systems Analyst III,0,0,1,0
878,Training,Data Coordiator,0,1,0,0
879,Training,Database Administrator II,1,1,0,0
880,Training,Database Administrator III,0,0,0,2
881,Training,Dental Hygienist,1,0,0,1
882,Training,Design Engineer,0,1,0,0
883,Training,Editor,0,1,1,0
884,Training,Engineer III,0,0,0,1
885,Training,Financial Analyst,0,0,0,1
886,Training,Food Chemist,1,1,2,1
887,Training,Geological Engineer,0,0,0,1
888,Training,Geologist II,0,1,1,1
889,Training,Geologist IV,0,1,0,0
890,Training,Graphic Designer,0,1,1,1
891,Training,Health Coach III,0,0,1,0
892,Training,Health Coach IV,0,1,0,0
893,Training,Human Resources Assistant II,0,1,0,0
894,Training,Human Resources Assistant IV,0,0,0,1
895,Training,Information Systems Manager,0,0,2,0
896,Training,Internal Auditor,0,1,1,0
897,Training,Librarian,0,0,0,1
898,Training,Mechanical Systems Engineer,1,0,0,0
899,Training,Media Manager III,0,0,0,2
900,Training,Nuclear Power Engineer,0,0,1,0
901,Training,Office Assistant II,0,0,1,0
902,Training,Operator,0,0,1,0
903,Training,Paralegal,0,0,0,1
904,Training,Pharmacist,0,2,1,0
905,Training,Programmer I,0,0,1,0
906,Training,Programmer IV,0,1,1,1
907,Training,Quality Control Specialist,0,0,1,0
908,Training,Quality Engineer,2,0,1,0
909,Training,Recruiter,0,0,0,2
910,Training,Registered Nurse,1,0,0,0
911,Training,Research Assistant IV,1,0,0,2
912,Training,Research Associate,0,0,1,0
913,Training,Sales Representative,0,1,1,2
914,Training,Senior Editor,0,1,0,2
915,Training,Senior Financial Analyst,0,0,0,1
916,Training,Software Engineer I,0,0,0,1
917,Training,Software Engineer III,0,0,1,0
918,Training,Software Test Engineer IV,1,0,0,0
919,Training,Staff Accountant III,0,0,0,1
920,Training,Staff Accountant IV,0,0,1,2
921,Training,Staff Scientist,0,1,2,0
922,Training,Statistician II,1,0,0,0
923,Training,Statistician III,0,1,0,0
924,Training,Structural Analysis Engineer,1,0,0,0
925,Training,Structural Engineer,0,1,0,0
926,Training,Systems Administrator II,0,1,0,0
927,Training,Systems Administrator IV,1,0,1,0
928,Training,Teacher,0,2,0,0
929,Training,Technical Writer,0,0,1,0
930,Training,VP Product Management,1,0,0,0
931,Training,VP Quality Control,0,1,0,0
932,Training,Web Developer III,0,1,0,0
